circID	chr	start	end	geneID	strand
4__143543508__143543972__ENSG00000153147	4	143543508	143543972	ENSG00000153147	+
15__64499292__64500166__ENSG00000180357	15	64499292	64500166	ENSG00000180357	+
1__24514313__24514567__ENSG00000117602	1	24514313	24514567	ENSG00000117602	+
7__158759485__158764853__ENSG00000117868	7	158759485	158764853	ENSG00000117868	-
8__51860844__51861246__ENSG00000168300	8	51860844	51861246	ENSG00000168300	-
1__805798__810170__ENSG00000230092	1	805798	810170	ENSG00000230092	-
12__46229152__46243314__ENSG00000111371	12	46229152	46243314	ENSG00000111371	-
4__152411302__152412529__ENSG00000109670	4	152411302	152412529	ENSG00000109670	-
5__123545416__123557564__ENSG00000151292	5	123545416	123557564	ENSG00000151292	+
X__65051461__65075912__ENSG00000102053	X	65051461	65075912	ENSG00000102053	+
2__112299848__112300029__ENSG00000188177	2	112299848	112300029	ENSG00000188177	+
1__155676547__155679512__ENSG00000163374	1	155676547	155679512	ENSG00000163374	-
1__117402185__117420649__ENSG00000198162	1	117402185	117420649	ENSG00000198162	+
6__116689319__116692392__ENSG00000196911	6	116689319	116692392	ENSG00000196911	+
16__30483826__30484263__ENSG00000005844	16	30483826	30484263	ENSG00000005844	+
5__70219917__70225795__ENSG00000253816	5	70219917	70225795	ENSG00000253816	-
14__99458278__99465813__ENSG00000183576	14	99458278	99465813	ENSG00000183576	-
18__9182381__9221999__ENSG00000101745	18	9182381	9221999	ENSG00000101745	+
5__137985256__137988315__ENSG00000031003	5	137985256	137988315	ENSG00000031003	-
5__168488601__168494650__ENSG00000113643	5	168488601	168494650	ENSG00000113643	+
15__100564691__100565265__ENSG00000140471	15	100564691	100565265	ENSG00000140471	-
5__21491320__21497196__ENSG00000183666	5	21491320	21497196	ENSG00000183666	+
7__50319047__50327757__ENSG00000185811	7	50319047	50327757	ENSG00000185811	+
14__99257470__99257839__ENSG00000127152	14	99257470	99257839	ENSG00000127152	-
19__23358429__23362725__ENSG00000167232	19	23358429	23362725	ENSG00000167232	-
1__117402185__117414831__ENSG00000198162	1	117402185	117414831	ENSG00000198162	+
7__155672866__155680908__ENSG00000184863	7	155672866	155680908	ENSG00000184863	+
11__108227594__108235834__ENSG00000149311	11	108227594	108235834	ENSG00000149311	+
20__58438944__58441083__ENSG00000124164	20	58438944	58441083	ENSG00000124164	+
4__128992166__129003876__ENSG00000151466	4	128992166	129003876	ENSG00000151466	-
15__32526812__32533368__ENSG00000223509	15	32526812	32533368	ENSG00000223509	-
11__108227594__108229323__ENSG00000149311	11	108227594	108229323	ENSG00000149311	+
1__146989573__146990517__ENSG00000268043	1	146989573	146990517	ENSG00000268043	+
8__30101897__30104486__ENSG00000104660	8	30101897	30104486	ENSG00000104660	+
10__32543299__32584304__ENSG00000216937	10	32543299	32584304	ENSG00000216937	+
20__2964271__2965202__ENSG00000132670	20	2964271	2965202	ENSG00000132670	+
1__117402185__117405645__ENSG00000198162	1	117402185	117405645	ENSG00000198162	+
21__15762890__15766141__ENSG00000155313	21	15762890	15766141	ENSG00000155313	+
10__84417770__84425893__ENSG00000107771	10	84417770	84425893	ENSG00000107771	+
3__16301625__16302748__ENSG00000154814	3	16301625	16302748	ENSG00000154814	+
16__68121986__68126610__ENSG00000072736	16	68121986	68126610	ENSG00000072736	+
15__58912562__58916999__ENSG00000137776	15	58912562	58916999	ENSG00000137776	-
6__138943512__138944622__ENSG00000135597	6	138943512	138944622	ENSG00000135597	-
7__158788003__158799072__ENSG00000117868	7	158788003	158799072	ENSG00000117868	-
19__52282110__52283413__ENSG00000196214	19	52282110	52283413	ENSG00000196214	+
3__56566593__56567053__ENSG00000180376	3	56566593	56567053	ENSG00000180376	+
