circID	chr	start	end	geneID	strand
4__143543508__143543972__ENSG00000153147	4	143543508	143543972	ENSG00000153147	+
8__51860844__51861246__ENSG00000168300	8	51860844	51861246	ENSG00000168300	-
15__64499292__64500166__ENSG00000180357	15	64499292	64500166	ENSG00000180357	+
12__46229152__46243314__ENSG00000111371	12	46229152	46243314	ENSG00000111371	-
7__158759485__158764853__ENSG00000117868	7	158759485	158764853	ENSG00000117868	-
1__805798__810170__ENSG00000230092	1	805798	810170	ENSG00000230092	-
1__24514313__24514567__ENSG00000117602	1	24514313	24514567	ENSG00000117602	+
5__123545416__123557564__ENSG00000151292	5	123545416	123557564	ENSG00000151292	+
13__32517856__32527532__ENSG00000244754	13	32517856	32527532	ENSG00000244754	-
4__152411302__152412529__ENSG00000109670	4	152411302	152412529	ENSG00000109670	-
18__9182381__9221999__ENSG00000101745	18	9182381	9221999	ENSG00000101745	+
19__23358429__23362725__ENSG00000167232	19	23358429	23362725	ENSG00000167232	-
2__112299848__112300029__ENSG00000188177	2	112299848	112300029	ENSG00000188177	+
14__22909482__22911403__ENSG00000100461	14	22909482	22911403	ENSG00000100461	-
15__32526812__32533368__ENSG00000223509	15	32526812	32533368	ENSG00000223509	-
1__117402185__117420649__ENSG00000198162	1	117402185	117420649	ENSG00000198162	+
1__155676547__155679512__ENSG00000163374	1	155676547	155679512	ENSG00000163374	-
6__116689319__116692392__ENSG00000196911	6	116689319	116692392	ENSG00000196911	+
12__46239678__46243314__ENSG00000111371	12	46239678	46243314	ENSG00000111371	-
5__137985256__137988315__ENSG00000031003	5	137985256	137988315	ENSG00000031003	-
16__30483826__30484263__ENSG00000005844	16	30483826	30484263	ENSG00000005844	+
X__65051461__65075912__ENSG00000102053	X	65051461	65075912	ENSG00000102053	+
3__56592969__56594028__ENSG00000180376	3	56592969	56594028	ENSG00000180376	+
10__32543299__32584304__ENSG00000216937	10	32543299	32584304	ENSG00000216937	+
1__7777159__7778169__ENSG00000049245	1	7777159	7778169	ENSG00000049245	+
7__50319047__50327757__ENSG00000185811	7	50319047	50327757	ENSG00000185811	+
12__28225794__28259442__ENSG00000123106	12	28225794	28259442	ENSG00000123106	+
5__168488601__168494650__ENSG00000113643	5	168488601	168494650	ENSG00000113643	+
14__99458278__99465813__ENSG00000183576	14	99458278	99465813	ENSG00000183576	-
20__58438944__58441083__ENSG00000124164	20	58438944	58441083	ENSG00000124164	+
15__100564691__100565265__ENSG00000140471	15	100564691	100565265	ENSG00000140471	-
16__68121986__68126610__ENSG00000072736	16	68121986	68126610	ENSG00000072736	+
7__155672866__155680908__ENSG00000184863	7	155672866	155680908	ENSG00000184863	+
1__117402185__117414831__ENSG00000198162	1	117402185	117414831	ENSG00000198162	+
1__205616477__205623891__ENSG00000158711	1	205616477	205623891	ENSG00000158711	-
21__15762890__15766141__ENSG00000155313	21	15762890	15766141	ENSG00000155313	+
7__158788003__158799072__ENSG00000117868	7	158788003	158799072	ENSG00000117868	-
4__128992166__129003876__ENSG00000151466	4	128992166	129003876	ENSG00000151466	-
11__108227594__108229323__ENSG00000149311	11	108227594	108229323	ENSG00000149311	+
13__99238426__99244624__ENSG00000134882	13	99238426	99244624	ENSG00000134882	+
11__108227594__108235834__ENSG00000149311	11	108227594	108235834	ENSG00000149311	+
5__21491320__21497196__ENSG00000183666	5	21491320	21497196	ENSG00000183666	+
19__21033455__21034184__ENSG00000118620	19	21033455	21034184	ENSG00000118620	+
1__117402185__117405645__ENSG00000198162	1	117402185	117405645	ENSG00000198162	+
14__99257470__99257839__ENSG00000127152	14	99257470	99257839	ENSG00000127152	-
12__28305648__28307749__ENSG00000123106	12	28305648	28307749	ENSG00000123106	+
11__108267170__108267342__ENSG00000149311	11	108267170	108267342	ENSG00000149311	+
3__170136418__170149244__ENSG00000173889	3	170136418	170149244	ENSG00000173889	-
10__7797046__7802854__ENSG00000165629	10	7797046	7802854	ENSG00000165629	+
20__32366383__32369123__ENSG00000171456	20	32366383	32369123	ENSG00000171456	+
3__16301625__16302748__ENSG00000154814	3	16301625	16302748	ENSG00000154814	+
4__87195323__87195690__ENSG00000145332	4	87195323	87195690	ENSG00000145332	-
6__116698703__116705160__ENSG00000196911	6	116698703	116705160	ENSG00000196911	+
3__196391812__196403019__ENSG00000163960	3	196391812	196403019	ENSG00000163960	-
9__37126311__37126942__ENSG00000147905	9	37126311	37126942	ENSG00000147905	+
14__39276933__39279537__ENSG00000150527	14	39276933	39279537	ENSG00000150527	+
20__2964271__2965202__ENSG00000132670	20	2964271	2965202	ENSG00000132670	+
12__116230532__116237705__ENSG00000123066	12	116230532	116237705	ENSG00000123066	-
11__77619605__77625818__ENSG00000074201	11	77619605	77625818	ENSG00000074201	-
3__56566593__56567053__ENSG00000180376	3	56566593	56567053	ENSG00000180376	+
19__29985222__29986417__ENSG00000105176	19	29985222	29986417	ENSG00000105176	+
3__56627036__56628614__ENSG00000163946	3	56627036	56628614	ENSG00000163946	-
15__58912562__58916999__ENSG00000137776	15	58912562	58916999	ENSG00000137776	-
1__155853275__155853806__ENSG00000116580	1	155853275	155853806	ENSG00000116580	-
10__84417770__84425893__ENSG00000107771	10	84417770	84425893	ENSG00000107771	+
6__138943512__138944622__ENSG00000135597	6	138943512	138944622	ENSG00000135597	-
14__39179090__39179462__ENSG00000100941	14	39179090	39179462	ENSG00000100941	+
12__28255580__28307749__ENSG00000123106	12	28255580	28307749	ENSG00000123106	+
3__5174016__5174414__ENSG00000134108	3	5174016	5174414	ENSG00000134108	+
8__30101897__30104486__ENSG00000104660	8	30101897	30104486	ENSG00000104660	+
3__149846010__149921227__ENSG00000082996	3	149846010	149921227	ENSG00000082996	+
16__68121986__68123121__ENSG00000072736	16	68121986	68123121	ENSG00000072736	+
1__41070594__41075451__ENSG00000010803	1	41070594	41075451	ENSG00000010803	-
3__67495797__67508903__ENSG00000172340	3	67495797	67508903	ENSG00000172340	-
10__32565557__32584304__ENSG00000216937	10	32565557	32584304	ENSG00000216937	+
X__118584734__118590302__ENSG00000147251	X	118584734	118590302	ENSG00000147251	+
2__61522610__61533903__ENSG00000082898	2	61522610	61533903	ENSG00000082898	-
1__35358924__35361789__ENSG00000146463	1	35358924	35361789	ENSG00000146463	+
11__14771936__14789242__ENSG00000152270	11	14771936	14789242	ENSG00000152270	+
12__120782654__120784593__ENSG00000157837	12	120782654	120784593	ENSG00000157837	-
5__57246299__57251141__ENSG00000062194	5	57246299	57251141	ENSG00000062194	+
15__25405460__25411971__ENSG00000114062	15	25405460	25411971	ENSG00000114062	-
10__27142386__27145590__ENSG00000136758	10	27142386	27145590	ENSG00000136758	-
7__23611170__23611553__ENSG00000169193	7	23611170	23611553	ENSG00000169193	+
18__24064139__24069271__ENSG00000168234	18	24064139	24069271	ENSG00000168234	+
5__139600371__139614966__ENSG00000131508	5	139600371	139614966	ENSG00000131508	+
1__52515890__52526373__ENSG00000134744	1	52515890	52526373	ENSG00000134744	-
7__92294888__92327900__ENSG00000001629	7	92294888	92327900	ENSG00000001629	+
1__23030468__23050520__ENSG00000004487	1	23030468	23050520	ENSG00000004487	+
9__33971650__33973237__ENSG00000137073	9	33971650	33973237	ENSG00000137073	-
15__89113724__89116521__ENSG00000140526	15	89113724	89116521	ENSG00000140526	+
16__31722625__31723353__ENSG00000197302	16	31722625	31723353	ENSG00000197302	+
9__131506113__131506453__ENSG00000130714	9	131506113	131506453	ENSG00000130714	+
16__69370482__69372355__ENSG00000132604	16	69370482	69372355	ENSG00000132604	-
14__96833466__96860735__ENSG00000100749	14	96833466	96860735	ENSG00000100749	+
2__99169549__99171429__ENSG00000158411	2	99169549	99171429	ENSG00000158411	-
10__110124016__110130486__ENSG00000148700	10	110124016	110130486	ENSG00000148700	+
15__62007307__62013992__ENSG00000129003	15	62007307	62013992	ENSG00000129003	-
13__77719531__77753358__ENSG00000139737	13	77719531	77753358	ENSG00000139737	+
11__108176245__108177090__ENSG00000149308	11	108176245	108177090	ENSG00000149308	-
3__158122102__158123991__ENSG00000174891	3	158122102	158123991	ENSG00000174891	+
11__33286412__33287511__ENSG00000110422	11	33286412	33287511	ENSG00000110422	+
8__37765525__37766355__ENSG00000147471	8	37765525	37766355	ENSG00000147471	+
X__53403565__53403893__ENSG00000072501	X	53403565	53403893	ENSG00000072501	-
18__9524593__9525851__ENSG00000017797	18	9524593	9525851	ENSG00000017797	+
11__130260855__130261929__ENSG00000196323	11	130260855	130261929	ENSG00000196323	-
10__15816834__15847943__ENSG00000148481	10	15816834	15847943	ENSG00000148481	-
2__61522610__61526521__ENSG00000082898	2	61522610	61526521	ENSG00000082898	-
15__80120327__80122800__ENSG00000086666	15	80120327	80122800	ENSG00000086666	+
15__41668827__41669958__ENSG00000174197	15	41668827	41669958	ENSG00000174197	+
